asset_id,maintenance_date,maintenance_type,technician,work_performed,parts_replaced,downtime_hours,cost_aud,notes
MCE-0092,2026-02-03,Inverter firmware update,Emma Thompson,Performed vibration sensor calibration,Bearing kit,3.8,23989.84,Completed successfully
MCE-0086,2026-01-30,Vibration sensor calibration,David Martinez,Performed bearing replacement,Blade components,7.1,9929.52,Completed successfully
MCE-0031,2026-01-30,Scheduled inspection,James Chen,Performed cooling system service,Oil filter,6.1,13711.41,Completed successfully
MCE-0047,2026-01-27,Oil change,Sarah Williams,Performed inverter firmware update,Blade components,4.3,19248.89,Completed successfully
MCE-0034,2026-01-27,Emergency repair,Michael O'Donnell,Performed emergency repair,Sensor module,4.7,17296.81,Completed successfully
MCE-0060,2026-01-26,Blade adjustment,Emma Thompson,Performed oil change,Bearing kit,5.9,16225.57,Completed successfully
MCE-0045,2026-01-20,Cooling system service,David Martinez,Performed cooling system service,None,1.2,16005.29,Completed successfully
MCE-0007,2026-01-18,Cooling system service,David Martinez,Performed inverter firmware update,Blade components,1.2,8871.42,Completed successfully
MCE-0048,2026-01-17,Scheduled inspection,David Martinez,Performed bearing replacement,Sensor module,1.9,20734.66,Completed successfully
MCE-0074,2026-01-14,Cooling system service,James Chen,Performed inverter firmware update,Oil filter,5.9,3919.56,Completed successfully
MCE-0078,2026-01-13,Scheduled inspection,David Martinez,Performed cooling system service,Oil filter,4.0,5397.19,Completed successfully
MCE-0044,2026-01-11,Scheduled inspection,David Martinez,Performed oil change,Bearing kit,3.8,14638.76,Completed successfully
MCE-0093,2026-01-09,Inverter firmware update,Michael O'Donnell,Performed inverter firmware update,Bearing kit,4.5,24625.45,Completed successfully
MCE-0008,2026-01-07,Emergency repair,Michael O'Donnell,Performed oil change,Oil filter,3.3,18076.41,Completed successfully
MCE-0069,2026-01-06,Bearing replacement,Michael O'Donnell,Performed oil change,None,2.5,20806.22,Follow-up required
MCE-0043,2026-01-05,Cooling system service,David Martinez,Performed inverter firmware update,Sensor module,7.4,20366.69,Completed successfully
MCE-0072,2026-01-04,Vibration sensor calibration,Sarah Williams,Performed inverter firmware update,Bearing kit,4.7,22591.33,Completed successfully
MCE-0066,2026-01-02,Oil change,Emma Thompson,Performed inverter firmware update,Bearing kit,6.8,12829.74,Completed successfully
MCE-0023,2026-01-01,Oil change,Michael O'Donnell,Performed vibration sensor calibration,Blade components,7.9,5780.39,Completed successfully
MCE-0024,2026-01-01,Bearing replacement,Emma Thompson,Performed oil change,Oil filter,5.5,3743.87,Follow-up required
MCE-0051,2025-12-31,Inverter firmware update,Michael O'Donnell,Performed emergency repair,None,7.1,9707.78,Follow-up required
MCE-0030,2025-12-30,Inverter firmware update,James Chen,Performed scheduled inspection,Sensor module,1.7,6696.92,Completed successfully
MCE-0009,2025-12-28,Scheduled inspection,David Martinez,Performed bearing replacement,None,7.6,20637.82,Completed successfully
MCE-0030,2025-12-25,Scheduled inspection,Sarah Williams,Performed vibration sensor calibration,None,3.6,18568.76,Completed successfully
MCE-0079,2025-12-25,Bearing replacement,Emma Thompson,Performed blade adjustment,Oil filter,2.7,4977.43,Completed successfully
MCE-0095,2025-12-23,Scheduled inspection,Emma Thompson,Performed emergency repair,Bearing kit,4.3,24141.39,Completed successfully
MCE-0077,2025-12-22,Oil change,Emma Thompson,Performed emergency repair,Bearing kit,2.9,7384.17,Completed successfully
MCE-0094,2025-12-22,Emergency repair,David Martinez,Performed scheduled inspection,Oil filter,3.4,4357.47,Completed successfully
MCE-0070,2025-12-21,Oil change,James Chen,Performed scheduled inspection,Bearing kit,4.7,21138.91,Completed successfully
MCE-0061,2025-12-19,Emergency repair,Sarah Williams,Performed emergency repair,Blade components,6.1,12056.01,Completed successfully
MCE-0048,2025-12-18,Oil change,David Martinez,Performed oil change,None,1.5,6980.43,Completed successfully
MCE-0059,2025-12-18,Vibration sensor calibration,Emma Thompson,Performed inverter firmware update,Bearing kit,3.1,2909.32,Completed successfully
MCE-0057,2025-12-17,Scheduled inspection,James Chen,Performed oil change,Blade components,2.3,4011.44,Follow-up required
MCE-0057,2025-12-14,Bearing replacement,David Martinez,Performed bearing replacement,Sensor module,2.3,9465.8,Completed successfully
MCE-0069,2025-12-14,Bearing replacement,Emma Thompson,Performed emergency repair,Bearing kit,7.4,20252.47,Follow-up required
MCE-0010,2025-12-11,Oil change,David Martinez,Performed emergency repair,Oil filter,3.1,18118.84,Completed successfully
MCE-0029,2025-12-10,Cooling system service,James Chen,Performed blade adjustment,Oil filter,5.9,5964.36,Completed successfully
MCE-0081,2025-12-10,Vibration sensor calibration,Emma Thompson,Performed emergency repair,Oil filter,0.7,10411.51,Completed successfully
MCE-0065,2025-12-10,Emergency repair,Sarah Williams,Performed scheduled inspection,Blade components,4.0,9360.52,Completed successfully
MCE-0021,2025-12-08,Scheduled inspection,David Martinez,Performed cooling system service,Oil filter,4.8,7374.2,Completed successfully
MCE-0055,2025-12-04,Emergency repair,Michael O'Donnell,Performed vibration sensor calibration,Blade components,5.1,6634.38,Completed successfully
MCE-0040,2025-12-03,Blade adjustment,Sarah Williams,Performed bearing replacement,Blade components,2.1,2537.07,Completed successfully
MCE-0049,2025-12-02,Scheduled inspection,Michael O'Donnell,Performed emergency repair,None,5.0,1235.61,Follow-up required
MCE-0079,2025-12-01,Vibration sensor calibration,Sarah Williams,Performed inverter firmware update,Blade components,2.7,15780.05,Follow-up required
MCE-0086,2025-12-01,Bearing replacement,Emma Thompson,Performed oil change,None,1.6,4557.31,Completed successfully
MCE-0017,2025-11-28,Scheduled inspection,Emma Thompson,Performed blade adjustment,Sensor module,2.9,5904.47,Completed successfully
MCE-0050,2025-11-25,Emergency repair,Sarah Williams,Performed oil change,Bearing kit,1.3,13743.13,Completed successfully
MCE-0006,2025-11-24,Blade adjustment,James Chen,Performed bearing replacement,Sensor module,6.9,13460.55,Completed successfully
MCE-0081,2025-11-21,Blade adjustment,Sarah Williams,Performed emergency repair,Sensor module,7.4,15007.43,Completed successfully
MCE-0063,2025-11-18,Vibration sensor calibration,David Martinez,Performed vibration sensor calibration,Blade components,3.1,11669.38,Completed successfully
MCE-0048,2025-11-15,Inverter firmware update,James Chen,Performed oil change,Oil filter,7.2,15474.72,Completed successfully
MCE-0094,2025-11-14,Blade adjustment,David Martinez,Performed cooling system service,Blade components,4.7,17270.07,Completed successfully
MCE-0029,2025-11-13,Scheduled inspection,Michael O'Donnell,Performed blade adjustment,Oil filter,1.0,16237.97,Completed successfully
MCE-0091,2025-11-13,Blade adjustment,Michael O'Donnell,Performed oil change,Sensor module,6.9,8107.47,Completed successfully
MCE-0026,2025-11-13,Cooling system service,Emma Thompson,Performed vibration sensor calibration,Blade components,2.6,6740.7,Completed successfully
MCE-0050,2025-11-11,Emergency repair,James Chen,Performed vibration sensor calibration,None,1.6,3438.78,Completed successfully
MCE-0095,2025-11-08,Oil change,James Chen,Performed bearing replacement,Blade components,5.7,2770.08,Completed successfully
MCE-0032,2025-11-07,Vibration sensor calibration,Michael O'Donnell,Performed oil change,Bearing kit,5.3,23391.14,Completed successfully
MCE-0037,2025-11-07,Vibration sensor calibration,Emma Thompson,Performed inverter firmware update,Sensor module,7.7,14186.34,Completed successfully
MCE-0059,2025-11-06,Oil change,James Chen,Performed oil change,Sensor module,2.8,16584.53,Completed successfully
MCE-0098,2025-11-05,Oil change,David Martinez,Performed bearing replacement,None,2.5,696.35,Completed successfully
MCE-0091,2025-11-03,Oil change,Michael O'Donnell,Performed bearing replacement,Blade components,2.0,12364.84,Completed successfully
MCE-0065,2025-11-02,Emergency repair,Sarah Williams,Performed blade adjustment,None,0.6,7743.08,Completed successfully
MCE-0010,2025-11-02,Scheduled inspection,James Chen,Performed oil change,None,6.9,4865.44,Completed successfully
MCE-0022,2025-10-30,Oil change,Sarah Williams,Performed inverter firmware update,None,3.4,4938.76,Completed successfully
MCE-0060,2025-10-25,Bearing replacement,James Chen,Performed inverter firmware update,Bearing kit,7.5,5641.49,Completed successfully
MCE-0089,2025-10-25,Emergency repair,Emma Thompson,Performed oil change,Blade components,5.9,23625.43,Completed successfully
MCE-0021,2025-10-24,Oil change,James Chen,Performed emergency repair,None,7.2,2078.08,Completed successfully
MCE-0060,2025-10-22,Inverter firmware update,James Chen,Performed inverter firmware update,None,6.7,8552.09,Completed successfully
MCE-0043,2025-10-21,Oil change,Sarah Williams,Performed bearing replacement,None,6.1,11837.64,Completed successfully
MCE-0085,2025-10-20,Bearing replacement,Emma Thompson,Performed inverter firmware update,Blade components,7.4,16625.16,Completed successfully
MCE-0060,2025-10-18,Scheduled inspection,Sarah Williams,Performed oil change,Bearing kit,8.0,5440.29,Completed successfully
MCE-0085,2025-10-15,Oil change,Emma Thompson,Performed inverter firmware update,Bearing kit,3.8,1674.14,Follow-up required
MCE-0008,2025-10-12,Emergency repair,David Martinez,Performed vibration sensor calibration,Oil filter,5.4,11718.49,Completed successfully
MCE-0061,2025-10-11,Blade adjustment,Emma Thompson,Performed bearing replacement,None,1.3,1173.51,Completed successfully
MCE-0068,2025-10-09,Inverter firmware update,Sarah Williams,Performed cooling system service,Bearing kit,2.7,21010.17,Completed successfully
MCE-0052,2025-10-06,Scheduled inspection,David Martinez,Performed inverter firmware update,Sensor module,3.9,1079.07,Completed successfully
MCE-0045,2025-10-06,Cooling system service,David Martinez,Performed bearing replacement,Blade components,5.9,1546.55,Completed successfully
MCE-0074,2025-10-01,Blade adjustment,Sarah Williams,Performed bearing replacement,Bearing kit,3.2,6141.66,Completed successfully
MCE-0100,2025-09-30,Cooling system service,Sarah Williams,Performed oil change,Sensor module,2.8,5625.13,Completed successfully
MCE-0032,2025-09-27,Emergency repair,Michael O'Donnell,Performed scheduled inspection,None,7.6,12315.82,Completed successfully
MCE-0047,2025-09-23,Emergency repair,Sarah Williams,Performed emergency repair,None,5.4,9299.03,Completed successfully
MCE-0004,2025-09-20,Vibration sensor calibration,Emma Thompson,Performed oil change,Oil filter,4.8,20135.73,Completed successfully
MCE-0077,2025-09-20,Emergency repair,Michael O'Donnell,Performed scheduled inspection,Bearing kit,5.9,15555.82,Follow-up required
MCE-0050,2025-09-16,Emergency repair,James Chen,Performed emergency repair,Sensor module,2.8,10473.03,Completed successfully
MCE-0083,2025-09-14,Vibration sensor calibration,Sarah Williams,Performed scheduled inspection,None,1.9,20334.82,Completed successfully
MCE-0092,2025-09-10,Emergency repair,James Chen,Performed cooling system service,Bearing kit,4.1,6352.86,Completed successfully
MCE-0013,2025-09-08,Oil change,James Chen,Performed cooling system service,Bearing kit,3.7,18149.31,Follow-up required
MCE-0092,2025-09-06,Cooling system service,David Martinez,Performed scheduled inspection,Sensor module,3.1,18678.7,Completed successfully
MCE-0026,2025-09-05,Emergency repair,James Chen,Performed emergency repair,Sensor module,5.7,20049.47,Completed successfully
MCE-0043,2025-09-05,Oil change,Michael O'Donnell,Performed blade adjustment,Blade components,7.3,11570.4,Follow-up required
MCE-0014,2025-09-05,Oil change,Emma Thompson,Performed emergency repair,None,2.2,20048.3,Completed successfully
MCE-0003,2025-09-05,Emergency repair,Michael O'Donnell,Performed vibration sensor calibration,Blade components,0.8,23649.81,Completed successfully
MCE-0064,2025-09-04,Scheduled inspection,Michael O'Donnell,Performed blade adjustment,Bearing kit,1.6,9523.37,Follow-up required
MCE-0048,2025-09-02,Scheduled inspection,David Martinez,Performed emergency repair,Blade components,2.8,23891.41,Completed successfully
MCE-0085,2025-09-02,Emergency repair,David Martinez,Performed bearing replacement,None,4.0,21570.79,Follow-up required
MCE-0083,2025-08-28,Vibration sensor calibration,Emma Thompson,Performed scheduled inspection,None,3.4,5077.07,Follow-up required
MCE-0020,2025-08-26,Blade adjustment,James Chen,Performed inverter firmware update,Sensor module,4.6,5134.24,Completed successfully
MCE-0059,2025-08-23,Oil change,Emma Thompson,Performed blade adjustment,Bearing kit,6.9,11011.35,Completed successfully
MCE-0044,2025-08-20,Blade adjustment,David Martinez,Performed emergency repair,Blade components,1.1,23658.87,Completed successfully
MCE-0054,2025-08-19,Vibration sensor calibration,Emma Thompson,Performed inverter firmware update,None,2.3,1741.22,Completed successfully
MCE-0077,2025-08-15,Blade adjustment,Sarah Williams,Performed cooling system service,Oil filter,4.5,4852.1,Completed successfully
MCE-0039,2025-08-15,Emergency repair,James Chen,Performed scheduled inspection,Sensor module,7.4,13462.78,Completed successfully
MCE-0089,2025-08-14,Oil change,Sarah Williams,Performed vibration sensor calibration,Bearing kit,0.7,22471.72,Completed successfully
MCE-0005,2025-08-14,Vibration sensor calibration,Michael O'Donnell,Performed blade adjustment,Oil filter,4.7,20222.45,Completed successfully
MCE-0056,2025-08-09,Oil change,David Martinez,Performed bearing replacement,Blade components,7.6,14015.68,Completed successfully
MCE-0057,2025-08-04,Oil change,Sarah Williams,Performed oil change,Blade components,6.0,23168.14,Completed successfully
MCE-0054,2025-08-03,Bearing replacement,Michael O'Donnell,Performed bearing replacement,None,6.5,1067.0,Completed successfully
MCE-0094,2025-08-02,Vibration sensor calibration,Michael O'Donnell,Performed vibration sensor calibration,Blade components,2.0,5491.23,Completed successfully
MCE-0052,2025-08-01,Oil change,Emma Thompson,Performed vibration sensor calibration,Sensor module,6.0,20157.18,Completed successfully
MCE-0054,2025-07-29,Vibration sensor calibration,David Martinez,Performed oil change,Oil filter,1.5,12614.57,Completed successfully
MCE-0074,2025-07-27,Blade adjustment,Michael O'Donnell,Performed cooling system service,Blade components,6.4,14972.17,Completed successfully
MCE-0033,2025-07-26,Oil change,Michael O'Donnell,Performed emergency repair,Oil filter,2.8,12927.13,Completed successfully
MCE-0001,2025-07-22,Oil change,Sarah Williams,Performed emergency repair,Oil filter,0.5,4851.99,Completed successfully
MCE-0047,2025-07-09,Inverter firmware update,Michael O'Donnell,Performed inverter firmware update,None,1.4,18996.96,Completed successfully
MCE-0002,2025-07-07,Blade adjustment,Michael O'Donnell,Performed blade adjustment,Bearing kit,7.2,19102.95,Completed successfully
MCE-0074,2025-07-03,Inverter firmware update,Sarah Williams,Performed scheduled inspection,Blade components,6.9,12385.3,Completed successfully
MCE-0031,2025-06-26,Scheduled inspection,James Chen,Performed blade adjustment,Oil filter,5.5,19882.0,Completed successfully
MCE-0027,2025-06-24,Emergency repair,James Chen,Performed oil change,Oil filter,1.6,12559.63,Completed successfully
MCE-0081,2025-06-23,Scheduled inspection,David Martinez,Performed inverter firmware update,Sensor module,0.8,11633.34,Completed successfully
MCE-0033,2025-06-22,Cooling system service,David Martinez,Performed vibration sensor calibration,Blade components,6.9,16259.66,Completed successfully
MCE-0064,2025-06-21,Oil change,David Martinez,Performed bearing replacement,None,7.3,8573.14,Follow-up required
MCE-0042,2025-06-19,Scheduled inspection,David Martinez,Performed cooling system service,None,2.2,915.57,Completed successfully
MCE-0030,2025-06-18,Inverter firmware update,Emma Thompson,Performed bearing replacement,Bearing kit,4.0,15567.43,Completed successfully
MCE-0029,2025-06-18,Cooling system service,David Martinez,Performed oil change,None,4.6,13626.74,Completed successfully
MCE-0069,2025-06-17,Emergency repair,Sarah Williams,Performed inverter firmware update,None,3.7,6420.82,Completed successfully
MCE-0084,2025-06-17,Inverter firmware update,Michael O'Donnell,Performed vibration sensor calibration,None,0.7,9819.34,Completed successfully
MCE-0031,2025-06-15,Vibration sensor calibration,Sarah Williams,Performed vibration sensor calibration,None,1.3,11134.31,Completed successfully
MCE-0056,2025-06-11,Vibration sensor calibration,James Chen,Performed oil change,Sensor module,3.1,938.52,Completed successfully
MCE-0093,2025-06-09,Vibration sensor calibration,James Chen,Performed emergency repair,None,0.5,7483.88,Completed successfully
MCE-0036,2025-06-06,Emergency repair,Sarah Williams,Performed vibration sensor calibration,Bearing kit,0.7,15960.07,Completed successfully
MCE-0004,2025-06-06,Vibration sensor calibration,Emma Thompson,Performed scheduled inspection,Blade components,0.9,10443.64,Completed successfully
MCE-0047,2025-06-03,Bearing replacement,Emma Thompson,Performed inverter firmware update,Bearing kit,2.0,23704.22,Completed successfully
MCE-0061,2025-06-02,Bearing replacement,Sarah Williams,Performed emergency repair,Sensor module,2.2,13487.67,Completed successfully
MCE-0091,2025-06-02,Oil change,Michael O'Donnell,Performed blade adjustment,Bearing kit,5.4,12312.97,Completed successfully
MCE-0098,2025-06-01,Scheduled inspection,Sarah Williams,Performed scheduled inspection,Blade components,1.4,4540.27,Completed successfully
MCE-0018,2025-05-31,Vibration sensor calibration,David Martinez,Performed blade adjustment,Blade components,2.3,17789.34,Completed successfully
MCE-0045,2025-05-31,Bearing replacement,David Martinez,Performed blade adjustment,Blade components,1.1,6591.18,Completed successfully
MCE-0089,2025-05-31,Blade adjustment,Michael O'Donnell,Performed oil change,Bearing kit,4.4,21739.87,Completed successfully
MCE-0023,2025-05-28,Vibration sensor calibration,Emma Thompson,Performed cooling system service,Bearing kit,3.8,10958.27,Completed successfully
MCE-0047,2025-05-27,Emergency repair,Michael O'Donnell,Performed blade adjustment,Bearing kit,5.3,10908.05,Completed successfully
MCE-0010,2025-05-27,Blade adjustment,Emma Thompson,Performed bearing replacement,None,8.0,22756.61,Completed successfully
MCE-0001,2025-05-25,Emergency repair,James Chen,Performed cooling system service,Blade components,1.2,3107.19,Completed successfully
MCE-0090,2025-05-23,Scheduled inspection,Michael O'Donnell,Performed vibration sensor calibration,Blade components,1.5,605.69,Completed successfully
MCE-0019,2025-05-22,Scheduled inspection,Sarah Williams,Performed scheduled inspection,Bearing kit,2.8,14383.78,Completed successfully
MCE-0045,2025-05-22,Emergency repair,Michael O'Donnell,Performed oil change,Sensor module,3.1,6462.06,Completed successfully
MCE-0058,2025-05-22,Blade adjustment,Michael O'Donnell,Performed inverter firmware update,Oil filter,2.8,8027.34,Completed successfully
MCE-0058,2025-05-21,Emergency repair,Sarah Williams,Performed vibration sensor calibration,None,7.9,12980.0,Completed successfully
MCE-0092,2025-05-16,Blade adjustment,Michael O'Donnell,Performed bearing replacement,Bearing kit,5.7,12025.68,Completed successfully
MCE-0052,2025-05-12,Bearing replacement,Emma Thompson,Performed inverter firmware update,Bearing kit,0.9,14496.37,Completed successfully
MCE-0024,2025-05-10,Scheduled inspection,Sarah Williams,Performed inverter firmware update,None,1.0,24319.03,Completed successfully
MCE-0015,2025-05-09,Emergency repair,Emma Thompson,Performed scheduled inspection,None,7.7,17538.6,Completed successfully
MCE-0073,2025-05-08,Oil change,Emma Thompson,Performed emergency repair,Bearing kit,5.8,2946.93,Completed successfully
MCE-0046,2025-05-05,Blade adjustment,Emma Thompson,Performed emergency repair,Oil filter,3.9,21453.88,Completed successfully
MCE-0028,2025-05-05,Scheduled inspection,Michael O'Donnell,Performed oil change,Oil filter,4.9,3367.13,Completed successfully
MCE-0082,2025-05-02,Oil change,Sarah Williams,Performed vibration sensor calibration,None,7.2,12146.68,Completed successfully
MCE-0045,2025-05-02,Inverter firmware update,Sarah Williams,Performed emergency repair,Oil filter,3.5,22691.53,Completed successfully
MCE-0099,2025-04-29,Scheduled inspection,Michael O'Donnell,Performed inverter firmware update,Blade components,7.7,7397.14,Completed successfully
MCE-0096,2025-04-28,Blade adjustment,James Chen,Performed emergency repair,Bearing kit,2.7,18774.5,Completed successfully
MCE-0100,2025-04-24,Inverter firmware update,David Martinez,Performed vibration sensor calibration,Bearing kit,3.9,7760.15,Completed successfully
MCE-0074,2025-04-23,Inverter firmware update,Emma Thompson,Performed oil change,Sensor module,5.7,6657.44,Completed successfully
MCE-0009,2025-04-19,Bearing replacement,James Chen,Performed cooling system service,Blade components,3.8,22945.68,Completed successfully
MCE-0087,2025-04-17,Inverter firmware update,Sarah Williams,Performed cooling system service,Oil filter,3.6,954.9,Follow-up required
MCE-0007,2025-04-17,Cooling system service,Michael O'Donnell,Performed vibration sensor calibration,None,2.8,11443.77,Completed successfully
MCE-0027,2025-04-14,Bearing replacement,Emma Thompson,Performed oil change,None,5.6,17284.93,Completed successfully
MCE-0048,2025-04-14,Inverter firmware update,David Martinez,Performed emergency repair,Bearing kit,4.9,18516.78,Completed successfully
MCE-0051,2025-04-14,Cooling system service,Sarah Williams,Performed blade adjustment,Blade components,2.5,2515.91,Completed successfully
MCE-0063,2025-04-12,Vibration sensor calibration,James Chen,Performed scheduled inspection,None,7.5,5830.85,Completed successfully
MCE-0005,2025-04-09,Inverter firmware update,Sarah Williams,Performed vibration sensor calibration,Oil filter,7.4,18601.68,Completed successfully
MCE-0026,2025-04-08,Blade adjustment,Emma Thompson,Performed blade adjustment,Oil filter,3.9,19350.81,Follow-up required
MCE-0044,2025-04-07,Vibration sensor calibration,Emma Thompson,Performed blade adjustment,Oil filter,6.7,9654.89,Completed successfully
MCE-0002,2025-04-04,Blade adjustment,Sarah Williams,Performed oil change,None,4.2,21336.92,Completed successfully
MCE-0049,2025-04-04,Vibration sensor calibration,Emma Thompson,Performed oil change,Bearing kit,7.5,4210.44,Follow-up required
MCE-0036,2025-04-04,Emergency repair,Michael O'Donnell,Performed scheduled inspection,Bearing kit,0.5,1625.14,Completed successfully
MCE-0094,2025-04-03,Oil change,James Chen,Performed scheduled inspection,Oil filter,4.9,10144.58,Completed successfully
MCE-0090,2025-03-31,Scheduled inspection,David Martinez,Performed oil change,Oil filter,3.0,6187.12,Completed successfully
MCE-0027,2025-03-31,Cooling system service,James Chen,Performed inverter firmware update,Sensor module,1.8,8299.32,Completed successfully
MCE-0029,2025-03-30,Bearing replacement,Sarah Williams,Performed bearing replacement,Sensor module,6.1,13028.36,Completed successfully
MCE-0012,2025-03-28,Oil change,Sarah Williams,Performed scheduled inspection,Bearing kit,6.2,7654.9,Completed successfully
MCE-0032,2025-03-28,Bearing replacement,David Martinez,Performed blade adjustment,Sensor module,7.2,11796.62,Completed successfully
MCE-0100,2025-03-25,Vibration sensor calibration,Emma Thompson,Performed scheduled inspection,Oil filter,2.0,20094.54,Follow-up required
MCE-0088,2025-03-24,Blade adjustment,Sarah Williams,Performed cooling system service,Blade components,6.0,21696.45,Completed successfully
